"key","name","voters","valid","valid_percentage"
161,"Ingolstadt, Krfr. St",90911,13395,"14,7"
162,"München, Krfr. St",914258,186906,"20,4"
163,"Rosenheim, Krfr. St",41139,6944,"16,9"
261,"Landshut, Krfr. St",49186,9782,"19,9"
262,"Passau, Krfr. St",38013,6373,"16,8"
263,"Straubing, Krfr. St",34019,4421,"13,0"
361,"Amberg, Krfr. St",32304,4731,"14,6"
362,"Regensburg, Krfr. St",105836,19131,"18,1"
363,"Weiden i.d.OPf., Krfr. St",32554,4667,"14,3"
461,"Bamberg, Krfr. St",55644,11735,"21,1"
462,"Bayreuth, Krfr. St",57200,11086,"19,4"
463,"Coburg, Krfr. St",31495,5585,"17,7"
464,"Hof, Krfr. St",33002,3464,"10,5"
561,"Ansbach, Krfr. St",30631,5945,"19,4"
562,"Erlangen, Krfr. St",76762,19097,"24,9"
563,"Fürth, Krfr. St",86770,16830,"19,4"
564,"Nürnberg, Krfr. St",340845,66638,"19,6"
565,"Schwabach, Krfr. St",29973,6776,"22,6"
661,"Aschaffenburg, Krfr. St",49636,7837,"15,8"
662,"Schweinfurt, Krfr. St",37290,5129,"13,8"
663,"Würzburg, Krfr. St",98402,20542,"20,9"
761,"Augsburg, Krfr. St",189077,38897,"20,6"
762,"Kaufbeuren, Krfr. St",31243,4973,"15,9"
763,"Kempten (Allgäu), Krfr. St",48412,8248,"17,0"
764,"Memmingen, Krfr. St",29311,5063,"17,3"
171,"Altötting",82520,15330,"18,6"
172,"Berchtesgadener Land",74223,11647,"15,7"
173,"Bad Tölz-Wolfratshausen",92293,16727,"18,1"
174,"Dachau",104846,23962,"22,9"
175,"Ebersberg",99232,22523,"22,7"
176,"Eichstätt",97714,15572,"15,9"
177,"Erding",99233,17212,"17,3"
178,"Freising",120993,22303,"18,4"
179,"Fürstenfeldbruck",153728,39201,"25,5"
180,"Garmisch-Partenkirchen",65281,12630,"19,3"
181,"Landsberg am Lech",90008,22237,"24,7"
182,"Miesbach",72972,13060,"17,9"
183,"Mühldorf a.Inn",85483,14280,"16,7"
184,"München",234922,62269,"26,5"
185,"Neuburg-Schrobenhausen",71766,9795,"13,6"
186,"Pfaffenhofen a.d.Ilm",93043,14176,"15,2"
187,"Rosenheim",194383,37120,"19,1"
188,"Starnberg",96025,26545,"27,6"
189,"Traunstein",133453,23638,"17,7"
190,"Weilheim-Schongau",101809,23574,"23,2"
271,"Deggendorf",91860,10753,"11,7"
272,"Freyung-Grafenau",63568,7232,"11,4"
273,"Kelheim",88289,13094,"14,8"
274,"Landshut",118487,18727,"15,8"
275,"Passau",150205,19998,"13,3"
276,"Regen",62156,7403,"11,9"
277,"Rottal-Inn",91897,11826,"12,9"
278,"Straubing-Bogen",77679,9886,"12,7"
279,"Dingolfing-Landau",71168,10359,"14,6"
371,"Amberg-Sulzbach",81797,12904,"15,8"
372,"Cham",101883,15460,"15,2"
373,"Neumarkt i.d.OPf.",101251,18164,"17,9"
374,"Neustadt a.d.Waldnaab",75555,10717,"14,2"
375,"Regensburg",147285,23225,"15,8"
376,"Schwandorf",114412,14953,"13,1"
377,"Tirschenreuth",58962,9609,"16,3"
471,"Bamberg",116152,19918,"17,1"
472,"Bayreuth",84194,14174,"16,8"
473,"Coburg",69731,11556,"16,6"
474,"Forchheim",90345,17021,"18,8"
475,"Hof",76796,10621,"13,8"
476,"Kronach",54975,7415,"13,5"
477,"Kulmbach",58971,8978,"15,2"
478,"Lichtenfels",53691,9113,"17,0"
479,"Wunsiedel i.Fichtelgebirge",57998,9171,"15,8"
571,"Ansbach",140013,26280,"18,8"
572,"Erlangen-Höchstadt",103178,22994,"22,3"
573,"Fürth",91436,23162,"25,3"
574,"Nürnberger Land",129561,29740,"23,0"
575,"Neustadt a.d.Aisch-Bad Windsheim",77278,12779,"16,5"
576,"Roth",97805,20172,"20,6"
577,"Weißenburg-Gunzenhausen",71932,12598,"17,5"
671,"Aschaffenburg",132556,25159,"19,0"
672,"Bad Kissingen",83255,13070,"15,7"
673,"Rhön-Grabfeld",63621,10276,"16,2"
674,"Haßberge",67975,10630,"15,6"
675,"Kitzingen",69150,11237,"16,3"
676,"Miltenberg",95371,18176,"19,1"
677,"Main-Spessart",99583,14527,"14,6"
678,"Schweinfurt",91234,16491,"18,1"
679,"Würzburg",126917,25982,"20,5"
771,"Aichach-Friedberg",100549,20885,"20,8"
772,"Augsburg",187754,41247,"22,0"
773,"Dillingen a.d.Donau",72382,11387,"15,7"
774,"Günzburg",89797,13540,"15,1"
775,"Neu-Ulm",123013,15402,"12,5"
776,"Lindau (Bodensee)",59262,9522,"16,1"
777,"Ostallgäu",105509,17921,"17,0"
778,"Unterallgäu",108270,19845,"18,3"
779,"Donau-Ries",100014,16563,"16,6"
780,"Oberallgäu",118760,21159,"17,8"
